	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV340	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV341	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
ASV342	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	NA	NA
ASV343	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomidium	Chaetomidium arxii
ASV344	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV345	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
ASV346	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Amauroascus	Amauroascus kuehnii
ASV347	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV348	Fungi	NA	NA	NA	NA	NA	NA
ASV349	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormia	NA
ASV350	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
ASV351	Metazoa	Platyhelminthes	Trematoda	Monopisthocotylea	NA	NA	NA
ASV352	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia affinis
ASV353	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV354	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thielavia	Thielavia subthermophila
ASV355	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	NA
ASV356	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV357	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV358	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV359	Metazoa	Nematoda	Dorylaimea	Dorylaimida	NA	NA	NA
ASV360	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV361	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Deniquelata	Deniquelata barringtoniae
ASV362	Metazoa	Porifera	Demospongiae	Verongida	NA	NA	NA
ASV363	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Chaetosphaeronema	NA
ASV364	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	Olpidiaceae	Olpidium	Olpidium brassicae
ASV365	Fungi	Ascomycota	Lecanoromycetes	Lecideales	Lecideaceae	Lecidea	Lecidea laboriosa
ASV366	Fungi	Ascomycota	Lecanoromycetes	Trapeliales	NA	NA	NA
ASV367	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thielavia	Thielavia inaequalis
ASV368	Metazoa	Mollusca	Bivalvia	Ostreoida	NA	NA	NA
ASV369	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella terrestris
ASV370	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV371	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV372	Metazoa	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV373	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
ASV374	Fungi	NA	NA	NA	NA	NA	NA
ASV375	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA
ASV376	Fungi	NA	NA	NA	NA	NA	NA
ASV377	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma victoriae
ASV378	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV379	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV380	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium magnum
ASV381	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV382	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
ASV383	NA	NA	NA	NA	NA	NA	NA
ASV384	Metazoa	Arthropoda	Insecta	Hemiptera	NA	NA	NA
ASV385	Rhodoplantae	Rhodophyta	Bangiophyceae	Bangiales	NA	NA	NA
ASV386	Metazoa	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV387	Fungi	Basidiomycota	Tremellomycetes	NA	NA	NA	NA
ASV388	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA
ASV389	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
ASV390	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV391	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV392	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	NA	NA	NA
ASV393	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV394	Stramenopila	Ochrophyta	Bacillariophyceae	Lithodesmiales	NA	NA	NA
ASV395	Fungi	NA	NA	NA	NA	NA	NA
ASV396	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV397	Fungi	NA	NA	NA	NA	NA	NA
ASV398	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV399	Fungi	Ascomycota	Dothideomycetes	Mytilinidales	Gloniaceae	Cenococcum	Cenococcum geophilum
ASV400	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	Saitozyma paraflava
ASV401	Fungi	NA	NA	NA	NA	NA	NA
ASV402	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV403	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	NA
ASV404	Viridiplantae	Anthophyta	Eudicotyledonae	Fabales	NA	NA	NA
ASV405	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV406	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Mallochia	Mallochia reticulata
ASV407	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
ASV408	Fungi	NA	NA	NA	NA	NA	NA
ASV409	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
ASV410	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV411	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	NA
ASV412	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	NA	NA	NA
ASV413	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	Olpidiaceae	NA	NA
ASV414	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV415	Fungi	NA	NA	NA	NA	NA	NA
ASV416	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV417	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV418	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
ASV419	Fungi	NA	NA	NA	NA	NA	NA
ASV420	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma aeria
ASV421	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Acrophialophora	Acrophialophora levis
ASV422	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
ASV423	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
ASV424	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	NA
ASV425	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV426	Alveolata	Apicomplexa	Coccidia	Eucoccidiorida	NA	NA	NA
ASV427	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV428	Metazoa	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV429	Fungi	Ascomycota	Lecanoromycetes	Umbilicariales	NA	NA	NA
ASV430	Stramenopila	Oomycota	Oomycetes	Peronosporales	NA	NA	NA
ASV431	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV432	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV433	Fungi	Mucoromycota	Mucoromycetes	Mucorales	NA	NA	NA
ASV434	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV435	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	NA
ASV436	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Aureoboletus	Aureoboletus mirabilis
ASV437	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
ASV438	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Protomycetaceae	Saitoella	Saitoella coloradoensis
ASV439	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	NA	NA
ASV440	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV441	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris papendorfii
ASV442	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV443	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV444	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV445	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	NA	NA	NA
ASV446	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV447	Fungi	Ascomycota	Dothideomycetes	NA	NA	Catenulomyces	Catenulomyces convolutus
ASV448	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Kabatiella	NA
ASV449	Fungi	NA	NA	NA	NA	NA	NA
ASV450	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
ASV451	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV452	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV453	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV454	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	Phaeococcomyces mexicanus
ASV455	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus microsporus
ASV456	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV457	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	Coniosporium apollinis
ASV458	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV459	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	NA
ASV460	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV461	Choanoflagellozoa	Choanoflagellata	NA	Choanoflagellida	NA	NA	NA
ASV462	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV463	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV464	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
ASV465	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	NA	NA
ASV466	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma aeria
ASV467	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV468	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	Neophaeococcomyces	NA
ASV469	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV470	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
ASV471	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
ASV472	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	NA	NA	NA
ASV473	Ichthyosporia	NA	Ichthyosporea	Dermocystida	NA	NA	NA
ASV474	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Chaetosphaeronema	NA
ASV475	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
ASV476	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
ASV477	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV478	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV479	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV480	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV481	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV482	NA	NA	NA	NA	NA	NA	NA
ASV483	Alveolata	Apicomplexa	Coccidia	Eucoccidiorida	NA	NA	NA
ASV484	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	NA
ASV485	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV486	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	NA	NA	NA
ASV487	Fungi	NA	NA	NA	NA	NA	NA
ASV488	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV489	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV490	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
ASV491	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
ASV492	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV493	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Deniquelata	Deniquelata barringtoniae
ASV494	Fungi	NA	NA	NA	NA	NA	NA
ASV495	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV496	Alveolata	Apicomplexa	Coccidia	Eucoccidiorida	NA	NA	NA
ASV497	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
ASV498	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
ASV499	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
ASV500	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV501	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
ASV502	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	NA	NA	NA
ASV503	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV504	Fungi	NA	NA	NA	NA	NA	NA
ASV505	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	Sporormiella intermedia
ASV506	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella wolfii
ASV507	Alveolata	Ciliophora	NA	NA	NA	NA	NA
ASV508	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV509	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
ASV510	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV511	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV512	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	NA	NA
ASV513	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV514	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	NA	NA
ASV515	Fungi	NA	NA	NA	NA	NA	NA
ASV516	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	NA	NA
ASV517	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
ASV518	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
ASV519	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV520	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	NA	NA	NA
ASV521	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella exigua
ASV522	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium jodhpurense
ASV523	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
ASV524	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	NA	NA	NA
ASV525	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV526	Viridiplantae	Chlorophyta	NA	NA	NA	NA	NA
ASV527	Viridiplantae	Chlorophyta	Nephroselmidophyceae	Nephroselmidales	NA	NA	NA
ASV528	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV529	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	NA	NA	NA
ASV530	Alveolata	Ciliophora	Oligohymenophorea	Astomatida	NA	NA	NA
ASV531	Viridiplantae	Marchantiophyta	Jungermanniopsida	Porellales	NA	NA	NA
ASV532	Ichthyosporia	NA	Ichthyosporea	Dermocystida	NA	NA	NA
ASV533	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus granulosus
ASV534	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV535	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
ASV536	Fungi	NA	NA	NA	NA	NA	NA
ASV537	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	Bahusakala	NA
ASV538	Viridiplantae	Chlorophyta	NA	NA	NA	NA	NA
ASV539	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV540	Metazoa	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV541	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV542	Fungi	NA	NA	NA	NA	NA	NA
ASV543	Ichthyosporia	NA	Ichthyosporea	Dermocystida	NA	NA	NA
ASV544	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	NA	NA	NA
ASV545	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV546	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV547	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	NA	NA	NA
ASV548	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV549	Alveolata	Dinophyta	Dinophyceae	Prorocentrales	NA	NA	NA
ASV550	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV551	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Craterellus	Craterellus tubaeformis
ASV552	Fungi	NA	NA	NA	NA	NA	NA
ASV553	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV554	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	NA	NA	NA
ASV555	Metazoa	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV556	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Trematosphaeriaceae	Trematosphaeria	NA
ASV557	Cryptista	Cryptophyta	NA	Pyrenomonadales	NA	NA	NA
ASV558	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia bhutanensis
ASV559	Ichthyosporia	NA	Ichthyosporea	Dermocystida	NA	NA	NA
ASV560	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV561	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV562	Metazoa	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV563	Alveolata	Dinophyta	Dinophyceae	Prorocentrales	NA	NA	NA
ASV564	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV565	Ichthyosporia	NA	Ichthyosporea	Dermocystida	NA	NA	NA
ASV566	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV567	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Scutellinia	NA
ASV568	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA
ASV569	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV570	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	NA	NA
ASV571	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA
ASV572	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	Sporormiella similis
ASV573	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV574	NA	NA	NA	NA	NA	NA	NA
ASV575	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
ASV576	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces	Pseudopithomyces chartarum
ASV577	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV578	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	Sporormiella septenaria
ASV579	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV580	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	NA	NA	NA
ASV581	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV582	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Gymnoascaceae	Gymnoascus	Gymnoascus reessii
ASV583	Fungi	NA	NA	NA	NA	NA	NA
ASV584	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV585	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia randhawae
ASV586	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV587	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
ASV588	Metazoa	Nematoda	Dorylaimea	Dorylaimida	NA	NA	NA
ASV589	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA
ASV590	Alveolata	Apicomplexa	Coccidia	Eucoccidiorida	NA	NA	NA
ASV591	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA
ASV592	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV593	Metazoa	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV594	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA
ASV595	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	NA	NA	NA
ASV596	Fungi	NA	NA	NA	NA	NA	NA
ASV597	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV598	Fungi	NA	NA	NA	NA	NA	NA
ASV599	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	NA	NA	NA
ASV600	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	NA	NA	NA
ASV601	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	NA	NA	NA
ASV602	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
ASV603	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
ASV604	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	NA	NA
ASV605	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV606	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV607	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Tetraplosphaeriaceae	NA	NA
ASV608	Stramenopila	Oomycota	Oomycetes	Peronosporales	NA	NA	NA
ASV609	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	Dictyosporium	Dictyosporium heptasporum
ASV610	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella terrestris
ASV611	Metazoa	Arthropoda	Malacostraca	Amphipoda	NA	NA	NA
ASV612	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV613	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV614	Alveolata	Apicomplexa	Coccidia	Eucoccidiorida	NA	NA	NA
ASV615	Fungi	NA	NA	NA	NA	NA	NA
ASV616	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
ASV617	Metazoa	Arthropoda	Malacostraca	Amphipoda	NA	NA	NA
ASV618	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	NA	NA	NA
ASV619	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paracamarosporium	Paracamarosporium leucadendri
ASV620	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	NA
ASV621	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium chernovii
ASV622	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV623	Fungi	NA	NA	NA	NA	NA	NA
ASV624	Metazoa	Craniata	Actinopterygii	Perciformes	NA	NA	NA
ASV625	Fungi	Ascomycota	Lecanoromycetes	Umbilicariales	NA	NA	NA
ASV626	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV627	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV628	Viridiplantae	Chlorophyta	NA	NA	NA	NA	NA
ASV629	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA
ASV630	Choanoflagellozoa	Choanoflagellata	NA	Choanoflagellida	NA	NA	NA
ASV631	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV632	Stramenopila	Oomycota	Oomycetes	Saprolegniales	NA	NA	NA
ASV633	Metazoa	Annelida	Clitellata	Enchytraeida	NA	NA	NA
ASV634	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia persica
ASV635	Fungi	Calcarisporiellomycota	Calcarisporiellomycetes	Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	NA
ASV636	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	NA	NA
ASV637	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	NA	NA
ASV638	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV639	Stramenopila	Oomycota	Oomycetes	Peronosporales	NA	NA	NA
ASV640	Fungi	NA	NA	NA	NA	NA	NA
ASV641	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Neocamarosporium	NA
ASV642	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
ASV643	Fungi	Ascomycota	Dothideomycetes	Myriangiales	NA	NA	NA
ASV644	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
ASV645	Stramenopila	Ochrophyta	Phaeophyceae	Fucales	NA	NA	NA
ASV646	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV647	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV648	Metazoa	Platyhelminthes	Cestoda	Cyclophyllidea	NA	NA	NA
ASV649	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
ASV650	Rhodoplantae	Rhodophyta	Florideophyceae	Gracilariales	NA	NA	NA
