	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1390	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	NA	NA	NA
ASV1391	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV1392	Choanoflagellozoa	Choanoflagellata	NA	Choanoflagellida	NA	NA	NA
ASV1393	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV1394	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV1395	Fungi	NA	NA	NA	NA	NA	NA
ASV1396	Metazoa	Nematomorpha	Gordiida	NA	NA	NA	NA
ASV1397	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	NA
ASV1398	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV1399	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV1400	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV1401	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV1402	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	Schizophyllum commune
ASV1403	Fungi	Ascomycota	Xylonomycetes	Symbiotaphrinales	NA	NA	NA
ASV1404	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium toxicarium
ASV1405	Stramenopila	Ochrophyta	Bacillariophyceae	Thalassiosirales	NA	NA	NA
ASV1406	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV1407	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Coprinus	NA
ASV1408	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV1409	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
ASV1410	Fungi	NA	NA	NA	NA	NA	NA
ASV1411	Metazoa	Arthropoda	Copepoda	Siphonostomatoida	NA	NA	NA
ASV1412	Protista	NA	NA	NA	NA	NA	NA
ASV1413	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	NA	NA
ASV1414	Alveolata	Dinophyta	Dinophyceae	Prorocentrales	NA	NA	NA
ASV1415	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	NA	NA	NA
ASV1416	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Dothiorella	Dothiorella viticola
ASV1417	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	NA	NA	NA
ASV1418	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	NA	NA
ASV1419	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV1420	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV1421	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV1422	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	NA
ASV1423	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV1424	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraconiothyrium	NA
ASV1425	Fungi	Calcarisporiellomycota	Calcarisporiellomycetes	Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	NA
ASV1426	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
ASV1427	Fungi	Ascomycota	Dothideomycetes	Strigulales	NA	NA	NA
ASV1428	Fungi	NA	NA	NA	NA	NA	NA
ASV1429	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Montagnula	NA
ASV1430	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV1431	Rhodoplantae	Rhodophyta	Florideophyceae	Gracilariales	NA	NA	NA
ASV1432	Fungi	NA	NA	NA	NA	NA	NA
ASV1433	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Helicocarpus	NA
ASV1434	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	NA	NA	NA
ASV1435	Fungi	NA	NA	NA	NA	NA	NA
ASV1436	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV1437	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	NA	NA	NA
ASV1438	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Trichophaeopsis	NA
ASV1439	Stramenopila	Oomycota	Oomycetes	Peronosporales	NA	NA	NA
ASV1440	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	NA
ASV1441	Fungi	NA	NA	NA	NA	NA	NA
ASV1442	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV1443	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV1444	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV1445	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA
ASV1446	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV1447	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	NA	Cryomyces	Cryomyces antarcticus
ASV1448	Fungi	NA	NA	NA	NA	NA	NA
ASV1449	Ichthyosporia	NA	Ichthyosporea	Dermocystida	NA	NA	NA
ASV1450	Fungi	Ascomycota	Dothideomycetes	Venturiales	NA	NA	NA
ASV1451	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	NA	NA	NA
ASV1452	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Neophaeosphaeria	NA
ASV1453	Protista	NA	NA	NA	NA	NA	NA
ASV1454	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	NA
ASV1455	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	NA	NA	NA
ASV1456	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thielavia	Thielavia microspora
ASV1457	Fungi	NA	NA	NA	NA	NA	NA
ASV1458	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	NA	NA	NA
ASV1459	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	NA	NA	NA
ASV1460	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV1461	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormia	NA
ASV1462	Alveolata	Ciliophora	NA	NA	NA	NA	NA
ASV1463	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV1464	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV1465	Alveolata	Apicomplexa	Coccidia	Eucoccidiorida	NA	NA	NA
ASV1466	Fungi	Ascomycota	Leotiomycetes	Thelebolales	NA	NA	NA
ASV1467	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	NA	NA
ASV1468	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Coprinus	NA
ASV1469	Cryptista	Cryptophyta	NA	NA	NA	NA	NA
ASV1470	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	NA	NA
ASV1471	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia	Diplodia seriata
ASV1472	Fungi	NA	NA	NA	NA	NA	NA
ASV1473	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV1474	Viridiplantae	Chlorophyta	NA	NA	NA	NA	NA
ASV1475	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV1476	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	NA	NA
ASV1477	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV1478	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV1479	Fungi	NA	NA	NA	NA	NA	NA
ASV1480	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV1481	Stramenopila	Oomycota	Oomycetes	Peronosporales	NA	NA	NA
ASV1482	Stramenopila	Oomycota	Oomycetes	Peronosporales	NA	NA	NA
ASV1483	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
ASV1484	Metazoa	Arthropoda	Insecta	Hymenoptera	NA	NA	NA
ASV1485	Fungi	NA	NA	NA	NA	NA	NA
ASV1486	Metazoa	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV1487	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV1488	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV1489	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV1490	Viridiplantae	Chlorophyta	NA	NA	NA	NA	NA
