Compound	Water_0.05H	Water_1h	Water_24H	Water_48H	Water_96H	LAC_0.05H1	LAC_0.05H2	LAC_0.05H3	LAC_0.05H4	LAC_0.05H5	LAC_1H1	LAC_1H2	LAC_1H3	LAC_1H4	LAC_1H5	LAC_24H1	LAC_24H2	LAC_24H3	LAC_24H4	LAC_24H5	LAC_48H1	LAC_48H2	LAC_48H3	LAC_48H4	LAC_48H5	LAC_96H1	LAC_96H2	LAC_96H3	LAC_96H4	LAC_96H5	CLC_0.05H1	CLC_0.05H2	CLC_0.05H3	CLC_0.05H4	CLC_0.05H5	CLC_1H1	CLC_1H2	CLC_1H3	CLC_1H4	CLC_1H5	CLC_24H1	CLC_24H2	CLC_24H3	CLC_24H4	CLC_24H5	CLC_48H1	CLC_48H2	CLC_48H3	CLC_48H4	CLC_48H5	CLC_96H1	CLC_96H2	CLC_96H3	CLC_96H4	CLC_96H5	AnnotationClass
Betaine	-0.369471674	-0.240725329	-0.829538895	-0.024942376	-0.471603867	2.091558263	1.931890992	2.033671898	1.956415471	2.850896989	0.962651909	1.146964933	1.224471217	0.965047243	1.004823123	0.561914656	0.012004467	-0.478937082	-0.731951038	0.331010792	-0.747962778	-0.442471665	-1.904262797	-0.759820938	-0.903294503	-2.302760939	-1.193076597	-1.260016134	-1.389635832	-0.432811264	2.094598179	2.156282799	1.860361081	1.230694516	0.832093736	1.023968288	1.184820191	1.462611642	1.201918994	0.981325853	1.26219107	1.610636958	2.010309421	1.888862745	1.460213528	0.862796998	1.205294404	0.718129676	0.523980768	1.332430304	-0.48261971	-1.187516297	-0.759694535	-2.57923399	-2.284995049	Methylation
Carnitine	-0.460560619	-0.884070651	-1.037169787	-1.170624805	-1.311494286	0.505675111	0.190692185	0.358620489	0.395550311	0.43844663	0.121001932	-0.007614001	0.005637236	-0.036881623	0.21005791	3.040820391	2.168563648	1.169147111	0.090961419	0.778015151	1.649496763	0.88464854	0.632449417	0.209597899	0.737287638	-1.176939609	-1.302955003	-1.235497633	-1.297189793	-1.369374764	-0.595054159	-0.43500396	-0.611636487	-0.174427439	0.250048317	-0.392521838	-0.442890244	-0.420242348	-0.374950141	-0.289662756	1.832836965	1.575569511	1.715572766	1.808233006	1.403361949	2.2023411	2.416375217	1.928681023	1.526894676	1.944489993	0.804317021	1.860342191	1.612420753	0.612563245	0.644568217	Carnitine
Choline	0.908181743	0.662582795	0.021106875	-0.049577507	0.50933208	-0.814634867	-0.986022787	-1.123732831	-1.085219514	-0.883465036	-0.96046865	-1.067797946	-1.161166126	-1.039581707	-0.867756932	1.767726059	1.102695948	0.785334894	0.223287796	1.022902045	0.287877827	-0.203049044	-0.430658729	-0.17696243	-0.058687565	-0.246954551	-0.398215812	-0.163360091	-0.249849922	-0.149129774	-0.624622127	-0.423529467	-0.552177306	-0.528127415	-0.071104246	-0.29535704	-0.254858245	-0.248427145	-0.400945653	-0.331194028	0.715626233	0.905548487	2.061138041	2.256792243	1.92127585	2.023099067	2.413560771	1.634525685	0.4711022	1.333787623	0.717481382	1.604344141	1.27559561	0.107579035	0.787613906	Choline
Citrulline	-0.433562399	0.248110141	0.095643412	-0.209359988	-0.428274709	1.396593224	1.097986759	1.298266048	1.14178887	1.238279735	1.143379483	1.226347884	1.205004314	1.200365767	1.32819414	-0.411937339	-0.446298511	-0.076592941	-0.426420276	-0.259057184	0.716574089	0.30686185	0.177324929	0.063376438	-0.020177277	0.102974761	-0.175442508	-0.553738517	-0.477834777	-0.408287679	1.207038634	1.215816186	1.039067312	0.822658916	0.801771851	0.682248162	0.707833324	0.861724693	0.824317274	0.777006141	0.040438757	0.283903968	0.086709355	-0.57490675	-0.370156779	-0.754317502	-0.784974201	-0.678546352	-0.681668391	-0.338256638	-1.025406313	-1.07757276	-1.207296733	-0.930205778	-0.969200788	Urea cycle
cyclic GMP	-3.631730929	-2.681726919	-4.453553309	-3.584169219	-3.429272268	-3.300342789	-3.570608176	-2.952399214	-3.545520374	-3.126812093	-3.058550282	-2.139505836	-2.305138497	-2.334605972	-2.1246624	-3.656331308	-3.59547001	-5.021416244	-3.715573413	-4.121198663	-5.252177642	-4.555930331	-3.227966028	-3.879651205	-4.276322316	-2.635700044	-2.866411453	-2.191478051	-2.476924472	-2.292489388	-3.121744596	-3.074653249	-3.182778342	-3.217743898	-3.056541596	-3.768991901	-3.440281111	-3.195900436	-3.411895664	-3.57265134	-3.983149946	-3.823983787	-5.202034516	-4.334041384	-4.209106362	-4.504547857	-4.863803782	-4.640490732	-4.215290495	-4.440468175	-3.663640124	-4.406976427	-4.952614988	-3.137668843	-3.518927197	Purine
Cystathionine	-2.661912432	-2.439782293	-2.952651094	-3.017129835	-2.339886162	-4.051981107	-3.811007588	-3.940507608	-3.339643978	-3.888255316	-3.709151096	-3.721347718	-3.848444514	-3.606945105	-3.997281079	-2.307291679	-2.339666282	-2.167796884	-2.361533331	-2.80254079	-3.26332919	-3.597548901	-3.256150666	-3.216391843	-2.872976322	-3.106109487	-2.693299225	-2.490273979	-2.978504918	-2.775513186	-2.919755761	-3.420857612	-2.81134243	-2.569490646	-2.277430039	-2.658578245	-2.754011595	-2.894153975	-2.912291154	-3.393434441	-2.894127089	-2.948442483	-3.261344498	-2.91412157	-2.753974916	-3.168503913	-3.260239696	-2.95777785	-3.019604502	-3.036057238	-2.870927169	-2.249404224	-2.390395912	-2.984232662	-2.687843014	Amino acid
Cytidine	-0.879905521	-0.774008859	-0.573601968	-0.229576212	-0.809421267	2.253151759	1.960104233	2.037527608	1.971134202	1.950038885	1.787839532	1.693458279	1.802074995	1.767824385	1.845030681	-0.359472168	-0.784579719	-0.218575174	-0.291234497	-0.032659725	-0.065561165	-0.112965507	0.402602014	0.302439685	0.300480276	0.781750007	0.412930316	0.519186048	0.317365119	0.548602104	1.545809401	1.636386664	1.61846569	1.702718352	1.805627055	1.627523078	1.574116845	1.764739528	1.763287247	1.688877197	-0.464510395	-0.554227235	-0.629072939	-0.80456729	-0.444726743	0.723566854	0.247152916	-0.026441393	0.188426446	0.229822505	0.546401785	0.710142746	0.527742029	0.862299523	1.09434996	Pyrimidine
Deoxyadenosine	0.249201097	0.598454233	0.694491468	0.74515926	0.730230148	1.66289459	1.446770965	1.657394498	1.677791119	1.493016453	1.752895657	1.57011235	1.631571148	1.602747274	1.869752721	0.592335382	0.475033373	1.000796105	1.001213921	0.830391942	0.521123893	0.659269919	1.256279669	1.310177377	1.361686007	1.770682381	1.791047685	1.692540771	1.200626028	1.987054201	0.696567909	0.956559968	1.112651119	1.675788589	2.043953634	1.607384654	1.717089032	1.783836907	1.787579341	1.678125139	0.542745399	0.381591834	0.169796209	0.008549533	0.653334941	1.22153491	0.87063629	0.532372682	1.167496328	0.957107188	1.277556302	1.540804574	1.763157145	2.019030589	2.641165096	Purine
Dimethylarginine	-1.115727635	-1.436514727	-1.324477788	-1.072451465	-1.045886792	-4.002196035	-3.14144705	-3.629583127	-3.334422778	-3.546566155	-3.378841236	-3.641704406	-3.250896069	-3.248397835	-3.437973676	-0.833598484	-1.127385697	-1.280198067	-1.467839182	-1.461564708	-1.238416933	-1.426074516	-1.51119265	-1.475913828	-1.617754441	-1.4490013	-1.574002166	-1.357213377	-0.922568302	-1.210568038	-3.585746024	-3.304460137	-3.482088062	-3.436303501	-3.283574681	-2.734518482	-3.004125783	-2.96912539	-2.823490414	-2.753713724	-1.752360635	-1.392418717	-0.343233654	0.200328238	-0.086066508	-0.262629529	0.466253279	0.460507422	0.17372489	0.387136111	0.132781506	0.1504402	-0.570616416	-1.021891527	-0.802783961	Methyl amino acid
gamma-Aminobutyric acid	-0.516149991	-0.417253457	-0.679015637	-1.251674372	-1.068017024	0.230493237	0.047431986	0.32967322	0.311157386	0.426488897	-0.212585185	-0.175349128	-0.112657384	-0.168937526	-0.13654945	-1.145054968	-1.182777977	-1.145185629	-1.442447773	-1.266170283	-0.425239468	-0.921892707	-1.147393734	-1.34794697	-1.334415595	-1.745826714	-1.810990099	-1.991463359	-2.072769329	-1.842979163	2.697750528	2.506255182	2.535009774	2.987782198	2.789902138	2.321386794	2.329587877	2.270901329	2.44672808	2.504271742	2.404947865	3.350919011	3.927401215	4.070510861	4.136665369	2.650717469	4.347681979	4.186326982	3.67081996	3.892989977	0.724161602	0.459319389	-0.809795476	-0.413586066	-0.332831393	Amino acid
