	Feature_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
ASV5214	ASV5214	Bacteria	Bacteroidetes	Rhodothermia	Rhodothermales	Rhodothermaceae	uncultured	uncultured Bacteroidetes bacterium	0.948833289
ASV5215	ASV5215	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA	NA	0.999999973
ASV5216	ASV5216	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	NA	NA	0.999852081
ASV5217	ASV5217	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	NA	NA	0.846874034
ASV5218	ASV5218	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	uncultured bacterium	0.995941177
ASV5219	ASV5219	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	NA	NA	NA	0.999995039
ASV5220	ASV5220	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA	1
ASV5221	ASV5221	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	NA	0.999989895
ASV5222	ASV5222	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	Trichocoleus SAG 26.92	NA	0.788108668
ASV5223	ASV5223	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	uncultured Chloroflexi bacterium	uncultured Chloroflexi bacterium	0.740880404
ASV5224	ASV5224	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	NA	1
ASV5225	ASV5225	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	uncultured bacterium	uncultured bacterium	0.972014536
ASV5226	ASV5226	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa	NA	0.786788296
ASV5227	ASV5227	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Microcoleus SAG 1449-1a	Persicaria minor	0.96269586
ASV5228	ASV5228	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	uncultured	uncultured forest soil bacterium	0.819253414
ASV5229	ASV5229	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Pyrinomonadales	Pyrinomonadaceae	RB41	NA	0.999213902
ASV5230	ASV5230	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	Nostoc PCC-73102	NA	0.963582644
ASV5231	ASV5231	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	uncultured bacterium	0.993446294
ASV5232	ASV5232	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured bacterium	0.763991429
ASV5233	ASV5233	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	Tychonema CCAP 1459-11B	NA	0.944832493
ASV5234	ASV5234	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	uncultured bacterium	uncultured bacterium	0.905603181
ASV5235	ASV5235	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured cyanobacterium	uncultured cyanobacterium	0.999292294
ASV5236	ASV5236	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Rubritepida	uncultured bacterium	0.901444704
ASV5237	ASV5237	Bacteria	Acidobacteria	Subgroup 6	NA	NA	NA	NA	0.999999988
ASV5238	ASV5238	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	NA	0.99999996
ASV5239	ASV5239	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Microcoleus SAG 1449-1a	uncultured cyanobacterium	0.998593507
ASV5240	ASV5240	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA	0.987104
ASV5241	ASV5241	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Lautropia	uncultured beta proteobacterium	0.704275216
ASV5242	ASV5242	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA	0.999016618
ASV5243	ASV5243	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	NA	NA	0.924960874
ASV5244	ASV5244	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Parviterribacter	uncultured bacterium	0.97449588
ASV5245	ASV5245	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured Oscillatoriales cyanobacterium	0.706462423
ASV5246	ASV5246	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	uncultured bacterium	uncultured bacterium	0.970015282
ASV5247	ASV5247	Bacteria	Chloroflexi	Ktedonobacteria	C0119	uncultured soil bacterium	uncultured soil bacterium	uncultured soil bacterium	0.980711168
ASV5248	ASV5248	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	Trichocoleus SAG 26.92	NA	0.901058849
ASV5249	ASV5249	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	uncultured	uncultured Actinomycetales bacterium	0.998202122
ASV5250	ASV5250	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured cyanobacterium	0.724118576
ASV5251	ASV5251	Bacteria	Armatimonadetes	Armatimonadia	Armatimonadales	uncultured bacterium	uncultured bacterium	uncultured bacterium	0.99600379
ASV5252	ASV5252	Bacteria	Armatimonadetes	uncultured	NA	NA	NA	NA	0.99997732
ASV5253	ASV5253	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	uncultured bacterium	uncultured bacterium	0.769916211
ASV5254	ASV5254	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	FFCH7168	uncultured bacterium	0.999999961
ASV5255	ASV5255	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	0.988299732
ASV5256	ASV5256	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	uncultured bacterium	uncultured bacterium	0.885847613
ASV5257	ASV5257	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	uncultured	NA	NA	0.872800306
ASV5258	ASV5258	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	uncultured bacterium	0.742285549
ASV5259	ASV5259	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	uncultured	uncultured cyanobacterium	0.969856704
ASV5260	ASV5260	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	NA	0.999995598
ASV5261	ASV5261	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	uncultured bacterium	uncultured bacterium	0.952550336
ASV5262	ASV5262	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	0.999997451
ASV5263	ASV5263	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured bacterium	uncultured bacterium	0.973644679
ASV5264	ASV5264	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured bacterium	0.859666018
ASV5265	ASV5265	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured bacterium	uncultured bacterium	0.967129656
ASV5266	ASV5266	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	NA	0.766563739
ASV5267	ASV5267	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	B1-7BS	uncultured bacterium	uncultured bacterium	0.780819224
ASV5268	ASV5268	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	uncultured bacterium	uncultured bacterium	0.998040445
ASV5269	ASV5269	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	uncultured bacterium	uncultured bacterium	0.995996313
ASV5270	ASV5270	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter	uncultured Segetibacter sp.	0.769964429
ASV5271	ASV5271	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20	NA	NA	0.999999999
ASV5272	ASV5272	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Chroococcidiopsaceae	Chroococcidiopsis SAG 2023	Chroococcidiopsis sp. BB79.2	0.786208091
ASV5273	ASV5273	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	uncultured bacterium	uncultured bacterium	0.71211297
ASV5274	ASV5274	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured cyanobacterium	uncultured cyanobacterium	0.998363387
ASV5275	ASV5275	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	uncultured bacterium	uncultured bacterium	0.900753723
ASV5276	ASV5276	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	uncultured bacterium	uncultured bacterium	0.84016768
ASV5277	ASV5277	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	Blastocatella	uncultured Acidobacteria bacterium	0.858385627
ASV5278	ASV5278	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	NA	0.960707985
ASV5279	ASV5279	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Polaromonas	NA	0.845260615
ASV5280	ASV5280	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa	uncultured bacterium	0.896449957
ASV5281	ASV5281	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	NA	NA	0.951690053
ASV5282	ASV5282	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Cyanobacteriaceae	uncultured bacterium	uncultured bacterium	0.996875111
ASV5283	ASV5283	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	NA	NA	1
ASV5284	ASV5284	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	uncultured	NA	0.99779069
ASV5285	ASV5285	Bacteria	Actinobacteria	MB-A2-108	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	0.993861166
ASV5286	ASV5286	Bacteria	Armatimonadetes	uncultured	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	0.990947852
ASV5287	ASV5287	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	uncultured bacterium	uncultured bacterium	0.833606894
ASV5288	ASV5288	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	0.999963647
ASV5289	ASV5289	Bacteria	Chloroflexi	Ktedonobacteria	C0119	uncultured bacterium	uncultured bacterium	uncultured bacterium	0.99921675
ASV5290	ASV5290	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Singulisphaera	NA	0.841635327
ASV5291	ASV5291	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 10	uncultured bacterium	0.859651724
ASV5292	ASV5292	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured bacterium	uncultured bacterium	0.99454075
ASV5293	ASV5293	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	uncultured bacterium	0.835058709
ASV5294	ASV5294	Bacteria	Actinobacteria	Actinobacteria	Frankiales	uncultured	uncultured bacterium	uncultured bacterium	0.74709127
ASV5295	ASV5295	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	NA	NA	0.997681904
ASV5296	ASV5296	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	MND1	NA	0.999999992
ASV5297	ASV5297	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	uncultured bacterium	0.931759511
ASV5298	ASV5298	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	uncultured bacterium	0.995675657
ASV5299	ASV5299	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	NA	0.98690932
ASV5300	ASV5300	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	NA	NA	0.996501231
ASV5301	ASV5301	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	NA	NA	0.706760116
ASV5302	ASV5302	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	NA	NA	NA	1
ASV5303	ASV5303	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	0.761358184
ASV5304	ASV5304	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured bacterium	0.718067826
ASV5305	ASV5305	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	uncultured bacterium	0.940505546
ASV5306	ASV5306	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	uncultured	NA	0.998861805
ASV5307	ASV5307	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	uncultured bacterium	uncultured bacterium	0.981239504
ASV5308	ASV5308	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured	NA	0.890856119
ASV5309	ASV5309	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa	uncultured bacterium	0.977698014
ASV5310	ASV5310	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	uncultured	uncultured bacterium	uncultured bacterium	0.998596861
ASV5311	ASV5311	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	NA	0.999995785
ASV5312	ASV5312	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	NA	0.999989469
ASV5313	ASV5313	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	uncultured bacterium	0.997953309
ASV5314	ASV5314	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	NA	0.989870001
ASV5315	ASV5315	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Chroococcidiopsaceae	NA	NA	0.981750117
ASV5316	ASV5316	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	NA	NA	NA	0.999999325
ASV5317	ASV5317	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured bacterium	0.900613083
ASV5318	ASV5318	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Larkinella	uncultured bacterium	0.999735808
ASV5319	ASV5319	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	NA	0.796352643
ASV5320	ASV5320	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	0.783147028
ASV5321	ASV5321	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	0.993607265
ASV5322	ASV5322	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter	uncultured bacterium	0.86641839
ASV5323	ASV5323	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured bacterium	0.973722981
ASV5324	ASV5324	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	NA	NA	0.995818228
ASV5325	ASV5325	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured cyanobacterium	uncultured cyanobacterium	0.731178073
ASV5326	ASV5326	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Bryobacter	NA	0.820663235
ASV5327	ASV5327	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Microcoleus SAG 1449-1a	Persicaria minor	0.960864064
ASV5328	ASV5328	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	NA	NA	0.795824488
ASV5329	ASV5329	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	uncultured	uncultured bacterium	0.978963126
ASV5330	ASV5330	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	uncultured	uncultured bacterium	0.999212262
ASV5331	ASV5331	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	0.846401013
ASV5332	ASV5332	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Virgisporangium	uncultured bacterium	0.865352618
ASV5333	ASV5333	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	PMMR1	NA	0.996278226
ASV5334	ASV5334	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	0.999981468
ASV5335	ASV5335	Bacteria	Actinobacteria	0319-7L14	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	0.98374883
ASV5336	ASV5336	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus	uncultured bacterium	0.854351131
ASV5337	ASV5337	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured bacterium	uncultured bacterium	0.998261641
ASV5338	ASV5338	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	uncultured bacterium	uncultured bacterium	0.999800863
ASV5339	ASV5339	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	uncultured planctomycete	uncultured planctomycete	0.971709326
ASV5340	ASV5340	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Fonticella	NA	0.997873469
ASV5341	ASV5341	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	uncultured bacterium	uncultured bacterium	0.95395318
ASV5342	ASV5342	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	NA	0.964775439
ASV5343	ASV5343	Bacteria	Cyanobacteria	Oxyphotobacteria	Oxyphotobacteria Incertae Sedis	Unknown Family	uncultured	uncultured bacterium	0.985562745
ASV5344	ASV5344	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Phaselicystidaceae	Phaselicystis	Phaselicystis flava	0.994165235
ASV5345	ASV5345	Bacteria	Actinobacteria	Actinobacteria	Frankiales	uncultured	NA	NA	0.994740458
ASV5346	ASV5346	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	uncultured soil bacterium	uncultured soil bacterium	0.873582488
ASV5347	ASV5347	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	uncultured actinobacterium	uncultured actinobacterium	0.889222211
ASV5348	ASV5348	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured	uncultured bacterium	0.872062605
ASV5349	ASV5349	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	uncultured bacterium	0.875342362
ASV5350	ASV5350	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA	1
ASV5351	ASV5351	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	Silvanigrella	NA	0.971276786
ASV5352	ASV5352	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured bacterium	uncultured bacterium	0.985322335
ASV5353	ASV5353	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	uncultured bacterium	0.724377242
ASV5354	ASV5354	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	uncultured bacterium	uncultured bacterium	0.728032623
ASV5355	ASV5355	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	0.784635565
ASV5356	ASV5356	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	NA	0.748378181
ASV5357	ASV5357	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa	uncultured soil bacterium	0.998488521
ASV5358	ASV5358	Bacteria	Chloroflexi	TK10	uncultured Chloroflexus sp.	uncultured Chloroflexus sp.	uncultured Chloroflexus sp.	uncultured Chloroflexus sp.	0.742565965
ASV5359	ASV5359	Bacteria	Armatimonadetes	uncultured	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	0.999484418
ASV5360	ASV5360	Bacteria	Actinobacteria	MB-A2-108	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	0.998744405
ASV5361	ASV5361	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	NA	NA	0.999999997
ASV5362	ASV5362	Bacteria	Gemmatimonadetes	AKAU4049	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	0.999992219
ASV5363	ASV5363	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	uncultured bacterium	uncultured bacterium	0.822163146
ASV5364	ASV5364	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	NA	1
ASV5365	ASV5365	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured Oscillatoriales cyanobacterium	0.850571723
ASV5366	ASV5366	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	Tychonema CCAP 1459-11B	NA	0.704155932
ASV5367	ASV5367	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	uncultured bacterium	uncultured bacterium	0.734093215
ASV5368	ASV5368	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	metagenome	0.855296037
ASV5369	ASV5369	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Taibaiella	uncultured bacterium	0.727975547
ASV5370	ASV5370	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	uncultured bacterium	uncultured bacterium	0.970604344
ASV5371	ASV5371	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	NA	NA	NA	0.998608486
ASV5372	ASV5372	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	Nostoc PCC-73102	NA	0.915421451
ASV5373	ASV5373	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Nonomuraea	NA	0.998285052
ASV5374	ASV5374	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	uncultured planctomycete	uncultured planctomycete	0.989241836
ASV5375	ASV5375	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Bryobacter	NA	0.999971505
ASV5376	ASV5376	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA	0.999999997
ASV5377	ASV5377	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	NA	0.859266309
ASV5378	ASV5378	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	uncultured bacterium	uncultured bacterium	0.737715602
ASV5379	ASV5379	Bacteria	Armatimonadetes	uncultured	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	0.99866195
ASV5380	ASV5380	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	uncultured	uncultured Singulisphaera sp.	0.753176869
ASV5381	ASV5381	Bacteria	Actinobacteria	Acidimicrobiia	uncultured	uncultured bacterium	uncultured bacterium	uncultured bacterium	0.810449389
ASV5382	ASV5382	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	NA	0.712930299
ASV5383	ASV5383	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	uncultured bacterium	uncultured bacterium	0.999960936
ASV5384	ASV5384	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured bacterium	uncultured bacterium	0.952665702
ASV5385	ASV5385	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Nibribacter	uncultured bacterium	0.988287549
ASV5386	ASV5386	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	uncultured bacterium	0.790789812
ASV5387	ASV5387	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	NA	0.99988048
ASV5388	ASV5388	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	Silvanigrella	NA	0.974692146
ASV5389	ASV5389	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	uncultured bacterium	0.964133441
ASV5390	ASV5390	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cytophagaceae	uncultured bacterium	uncultured bacterium	0.991741241
ASV5391	ASV5391	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Microcoleus Es-Yyy1400	Microcoleus paludosus Es_Yyy1400	0.981550285
ASV5392	ASV5392	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Wilmottia Ant-Ph58	NA	0.757613613
ASV5393	ASV5393	Bacteria	Acidobacteria	Subgroup 6	NA	NA	NA	NA	0.999990101
ASV5394	ASV5394	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	uncultured	uncultured bacterium	0.937913657
ASV5395	ASV5395	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter	uncultured bacterium	0.902780698
ASV5396	ASV5396	Bacteria	Chloroflexi	JG30-KF-CM66	uncultured Chloroflexi bacterium	uncultured Chloroflexi bacterium	uncultured Chloroflexi bacterium	uncultured Chloroflexi bacterium	0.999774692
ASV5397	ASV5397	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa	uncultured soil bacterium	0.734727364
ASV5398	ASV5398	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	uncultured	uncultured bacterium	0.711806656
ASV5399	ASV5399	Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Quadrisphaera	uncultured bacterium	0.903256918
ASV5400	ASV5400	Bacteria	Acidobacteria	Holophagae	Subgroup 7	uncultured Desulfuromonadales bacterium	uncultured Desulfuromonadales bacterium	uncultured Desulfuromonadales bacterium	0.774358334
ASV5401	ASV5401	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	uncultured bacterium	uncultured bacterium	0.997583212
