	Feature_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
ASV1321	ASV1321	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	Tychonema CCAP 1459-11B	NA	0.952025628
ASV1322	ASV1322	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	0.999835244
ASV1323	ASV1323	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	uncultured bacterium	uncultured bacterium	0.991988619
ASV1324	ASV1324	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	NA	NA	0.995295271
ASV1325	ASV1325	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Asanoa	metagenome	0.856385787
ASV1326	ASV1326	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	NA	NA	0.985021098
ASV1327	ASV1327	Bacteria	NA	NA	NA	NA	NA	NA	0.9999394
ASV1328	ASV1328	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured bacterium	0.971274942
ASV1329	ASV1329	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	NA	0.999997171
ASV1330	ASV1330	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	uncultured bacterium	uncultured bacterium	0.988726341
ASV1331	ASV1331	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	uncultured	uncultured bacterium	uncultured bacterium	0.909276189
ASV1332	ASV1332	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	1
ASV1333	ASV1333	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Chroococcidiopsaceae	Aliterella CENA595	NA	0.999998463
ASV1334	ASV1334	Bacteria	Actinobacteria	MB-A2-108	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	0.996208511
ASV1335	ASV1335	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured	NA	NA	0.999993969
ASV1336	ASV1336	Bacteria	FBP	uncultured actinobacterium	uncultured actinobacterium	uncultured actinobacterium	uncultured actinobacterium	uncultured actinobacterium	0.997000199
ASV1337	ASV1337	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	uncultured	uncultured bacterium	0.954390169
ASV1338	ASV1338	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	uncultured bacterium	uncultured bacterium	0.999999048
ASV1339	ASV1339	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	NA	0.922711347
ASV1340	ASV1340	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Symplocastrum CPER-KK1	NA	0.955082646
ASV1341	ASV1341	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	uncultured	NA	0.999342899
ASV1342	ASV1342	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	NA	NA	0.999848155
ASV1343	ASV1343	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	uncultured Azospirillum sp.	0.92090216
ASV1344	ASV1344	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	uncultured	uncultured bacterium	0.771140611
ASV1345	ASV1345	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Symplocastrum CPER-KK1	NA	0.940962764
ASV1346	ASV1346	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured	uncultured bacterium	0.754799757
ASV1347	ASV1347	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured bacterium	0.979299318
ASV1348	ASV1348	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	NA	0.739285386
ASV1349	ASV1349	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	uncultured Rubrobacteria bacterium	uncultured Rubrobacteria bacterium	0.766707542
ASV1350	ASV1350	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	uncultured Flavobacterium sp.	0.818329402
ASV1351	ASV1351	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	uncultured bacterium	0.999669831
ASV1352	ASV1352	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter	uncultured bacterium	0.827181116
ASV1353	ASV1353	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured Oscillatoriales cyanobacterium	0.870152303
ASV1354	ASV1354	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	NA	0.719504917
ASV1355	ASV1355	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Desertibacter	NA	0.940917839
ASV1356	ASV1356	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	NA	1
ASV1357	ASV1357	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA	0.999719817
ASV1358	ASV1358	Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineococcus	Kineococcus sp.	0.732230454
ASV1359	ASV1359	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	NA	NA	0.734706054
ASV1360	ASV1360	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	uncultured actinobacterium	0.794404245
ASV1361	ASV1361	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	NA	1
ASV1362	ASV1362	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cytophagaceae	Rhodocytophaga	NA	0.999999999
ASV1363	ASV1363	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	NA	NA	NA	0.999998085
ASV1364	ASV1364	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	uncultured bacterium	uncultured bacterium	0.99444748
ASV1365	ASV1365	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	uncultured	uncultured bacterium	0.999999997
ASV1366	ASV1366	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum	NA	0.994727969
ASV1367	ASV1367	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	uncultured	uncultured Oscillatoriales cyanobacterium	0.931925847
ASV1368	ASV1368	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Singulisphaera	uncultured bacterium	0.732892589
ASV1369	ASV1369	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	NA	NA	0.999984598
ASV1370	ASV1370	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	NA	NA	0.999999994
ASV1371	ASV1371	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	uncultured	uncultured cyanobacterium	uncultured cyanobacterium	0.99532937
ASV1372	ASV1372	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cytophagaceae	Rhodocytophaga	NA	0.999999999
ASV1373	ASV1373	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	uncultured bacterium	uncultured bacterium	0.723526589
ASV1374	ASV1374	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	NA	0.999357453
ASV1375	ASV1375	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Pyrinomonadales	Pyrinomonadaceae	RB41	uncultured Acidobacterium sp.	0.958799266
ASV1376	ASV1376	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Pyrinomonadales	Pyrinomonadaceae	RB41	uncultured Acidobacterium sp.	0.87921692
ASV1377	ASV1377	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	uncultured bacterium	uncultured bacterium	0.845652023
ASV1378	ASV1378	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma	NA	0.999915316
ASV1379	ASV1379	Bacteria	Actinobacteria	Acidimicrobiia	uncultured	uncultured bacterium	uncultured bacterium	uncultured bacterium	0.737067222
ASV1380	ASV1380	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Coleofasciculaceae	Microcoleus SAG 1449-1a	uncultured cyanobacterium	0.99700691
